periodo,fecha,hora,autopista,banda_y_o_ramal,pk,condiciones_meteorologicas,superficie_de_la_via,lesionados,fallecidos,tipo_de_siniestro,moto,liviano,bus,camion,B_Fallecidos,B_Lesionados,moto_o_liviano_involucrado,camion_o_bus_involucrado
201401,1/1/2014,1,AU CAMPORA,ASCENDENTE,600,BUENO,SECA,1,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,1,1,0
201401,1/1/2014,3,AU DELLEPIANE,DESCENDENTE,600,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201401,1/1/2014,22,AU 25 DE MAYO,ASCENDENTE,5900,BUENO,SECA,8,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,1,1,0
201401,3/1/2014,7,AU CAMPORA,DESCENDENTE,600,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,0,0,1,0,0,0,1
201401,3/1/2014,21,AU PERTIO MORENO,DESCENDENTE,5400,BUENO,SECA,1,0,COLISION CON OBSTACULO FIJO,0,2,0,0,0,1,1,0
201401,4/1/2014,9,AU 25 DE MAYO,DESCENDENTE,4700,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201401,4/1/2014,19,AU DELLEPIANE,ASCENDENTE,3800,BUENO,SECA,1,0,OBSTACULO NO FIJO,0,1,0,0,0,1,1,0
201401,5/1/2014,15,AU DELLEPIANE,ASCENDENTE,4000,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,1,0,0,1,0,0,1,1
201401,6/1/2014,7,AV LUGONES,DESCENDENTE,7000,BUENO,SECA,3,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,2,0,1,1,1
201401,6/1/2014,9,AU PERTIO MORENO,TRANSICION RAMAL 2,RAMAL ENLACE,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201401,6/1/2014,10,AU 25 DE MAYO,ASCENDENTE,5600,BUENO,SECA,2,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,0,1,1,0
201401,8/1/2014,7,AU PERTIO MORENO,ASCENDENTE,5400,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,0,0,2,0,0,0,1
201401,8/1/2014,11,AU 25 DE MAYO,DESCENDENTE,3200,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201401,9/1/2014,6,AU PERTIO MORENO,ASCENDENTE,5400,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,0,0,2,0,0,0,1
201401,9/1/2014,10,AU PERTIO MORENO,TRANSICION RAMAL 2,RAMAL ENLACE,BUENO,SECA,2,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,0,1,1,0
201401,9/1/2014,14,AU PERTIO MORENO,ASCENDENTE,5400,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,0,0,0,2,0,1,0,1
201401,9/1/2014,20,AU DELLEPIANE,ASCENDENTE,1000,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201401,10/1/2014,0,AV LUGONES,DESCENDENTE,10300,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,1,0,0,1,1
201401,10/1/2014,7,AU PERTIO MORENO,TRANSICION RAMAL 4,RAMPA ACCESO,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201401,11/1/2014,14,AV CANTILO,ASCENDENTE,9050,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,0,1,1,0
201401,12/1/2014,6,AU FRONDIZI,DESCENDENTE,RAMPA EGRESO,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,0,1,1,0
201401,1/14/2014,13,AU PERTIO MORENO,ASCENDENTE,2000,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201401,1/14/2014,18,AV CANTILO,ASCENDENTE,10200,BUENO,SECA,1,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,0,1,1,0
201401,1/14/2014,18,AV LUGONES,DESCENDENTE,7000,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,0,1,1,0
201401,1/14/2014,22,AU DELLEPIANE,DESCENDENTE,200,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,1,1,0
201401,1/15/2014,8,AU PERTIO MORENO,ASCENDENTE,4700,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,0,1,1,0
201401,1/15/2014,13,AU ILLIA,DESCENDENTE,200,BUENO,SECA,2,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,1,1,0
201401,1/15/2014,14,AV LUGONES,DESCENDENTE,4500,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,0,0,0,2,0,1,0,1
201401,1/15/2014,18,AU 25 DE MAYO,DESCENDENTE,8600,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,1,0,0,0,1,1
201401,1/15/2014,20,AU 25 DE MAYO,DESCENDENTE,1700,BUENO,SECA,2,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,0,1,1,0
201401,1/16/2014,18,AU 25 DE MAYO,DESCENDENTE,3200,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,3,0,0,0,0,1,0
201401,1/16/2014,20,AU PERTIO MORENO,ASCENDENTE,1600,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,0,0,0,1,0
201401,1/17/2014,2,AU PERTIO MORENO,ASCENDENTE,5400,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,1,0,0,0,0,1,0
201401,1/17/2014,16,AU PERTIO MORENO,ASCENDENTE,5800,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,1,0,1,0,0,1,1
201401,1/17/2014,18,AU PERTIO MORENO,TRANSICION RAMAL 3,RAMAL ENLACE,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201401,1/18/2014,16,AU 25 DE MAYO,DESCENDENTE,4700,BUENO,SECA,1,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,0,1,1,0
201401,1/18/2014,17,AU DELLEPIANE,ASCENDENTE,4300,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201401,1/18/2014,21,AU DELLEPIANE,ASCENDENTE,1700,BUENO,SECA,2,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,0,1,1,0
201401,1/19/2014,4,AV CANTILO,ASCENDENTE,10300,VIENTOS FUERTES,MOJADA/HUMEDA,1,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,0,1,1,0
201401,1/19/2014,16,AU DELLEPIANE,DESCENDENTE,4700,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201401,1/20/2014,9,AU PERTIO MORENO,TRANSICION RAMAL 2,RAMAL ENLACE,BUENO,MOJADA/HUMEDA,1,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,0,1,1,0
201401,1/20/2014,20,AU 25 DE MAYO,DESCENDENTE,7500,BUENO,SECA,1,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,0,1,1,0
201401,1/20/2014,23,AU PERTIO MORENO,DESCENDENTE,5400,BUENO,SECA,0,0,OBSTACULO NO FIJO,0,1,0,0,0,0,1,0
201401,1/21/2014,8,AU 25 DE MAYO,DESCENDENTE,4700,LLUVIOSO,MOJADA/HUMEDA,1,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,1,1,0
201401,1/21/2014,8,AU 25 DE MAYO,ASCENDENTE,8800,LLUVIOSO,MOJADA/HUMEDA,2,0,COLISION CON OBSTACULO FIJO,0,1,0,1,0,1,1,1
201401,1/21/2014,11,AU CAMPORA,ASCENDENTE,3200,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,0,0,1,0,0,0,1
201401,1/23/2014,15,AU PERTIO MORENO,ASCENDENTE,5400,BUENO,SECA,2,0,COLISION CON DOS O MAS VEHICULOS,0,0,1,2,0,1,0,1
201401,1/23/2014,22,AU 25 DE MAYO,DISTRIBUIDOR 9 DE JULIO,RAMAL 5,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201401,1/23/2014,22,AV LUGONES,DESCENDENTE,5000,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201401,1/24/2014,19,AU 25 DE MAYO,DESCENDENTE,1000,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,0,1,1,0
201401,1/25/2014,9,AU PERTIO MORENO,ASCENDENTE,5400,BUENO,SECA,0,0,SINIESTRO DE UN SOLO VEHICULO / SIN COLISION,1,0,0,0,0,0,1,0
201401,1/26/2014,4,AU 25 DE MAYO,DESCENDENTE,300,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,1,1,0
201401,1/26/2014,8,AU 25 DE MAYO,DESCENDENTE,0,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,0,1,1,0,0,0,1
201401,1/27/2014,12,AU 25 DE MAYO,ASCENDENTE,5800,BUENO,SECA,1,1,COLISION CON DOS O MAS VEHICULOS,1,2,1,0,1,1,1,1
201401,1/28/2014,17,AU PERTIO MORENO,ASCENDENTE,5300,LLUVIOSO,MOJADA/HUMEDA,1,0,COLISION CON DOS O MAS VEHICULOS,0,1,1,0,0,1,1,1
201401,1/28/2014,21,AU DELLEPIANE,DESCENDENTE,2500,BUENO,MOJADA/HUMEDA,1,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,1,1,0
201401,1/29/2014,6,AU ILLIA,DESCENDENTE,1000,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,2,0,0,0,0,1,0
201401,1/29/2014,7,AU PERTIO MORENO,ASCENDENTE,5400,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201401,1/29/2014,8,AU DELLEPIANE,ASCENDENTE,4700,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201401,1/29/2014,17,AU PERTIO MORENO,DESCENDENTE,2000,BUENO,SECA,1,0,COLISION CON DOS O MAS VEHICULOS,1,1,0,0,0,1,1,0
201401,1/30/2014,22,AU 25 DE MAYO,DESCENDENTE,5500,BUENO,SECA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201401,1/31/2014,13,AU 25 DE MAYO,ASCENDENTE,RAMPA EGRESO,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201401,1/31/2014,17,AU 25 DE MAYO,DESCENDENTE,7400,BUENO,SECA,0,0,COLISION CON DOS O MAS VEHICULOS,0,3,0,0,0,0,1,0
201402,1/2/2014,8,AU 25 DE MAYO,DESCENDENTE,1000,LLUVIOSO,MOJADA/HUMEDA,3,0,COLISION CON DOS O MAS VEHICULOS,0,1,1,0,0,1,1,1
201402,1/2/2014,10,AU 25 DE MAYO,ASCENDENTE,1700,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON DOS O MAS VEHICULOS,0,2,0,0,0,0,1,0
201402,2/2/2014,6,AU DELLEPIANE,ASCENDENTE,2800,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201402,2/2/2014,7,AU 25 DE MAYO,ASCENDENTE,9200,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201402,2/2/2014,7,AU DELLEPIANE,ASCENDENTE,1700,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
201402,2/2/2014,11,AU 25 DE MAYO,ASCENDENTE,2100,LLUVIOSO,MOJADA/HUMEDA,0,0,COLISION CON OBSTACULO FIJO,0,1,0,0,0,0,1,0
